Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras;01/01/2024;14,1;01/01/2024;14,1;14.1
Beras Kualitas Bawah I;01/01/2024;13,5;01/01/2024;13,5;13.5
Beras Kualitas Bawah II;01/01/2024;13,2;01/01/2024;13,2;13.2
Beras Kualitas Medium I;01/01/2024;13,5;01/01/2024;13,5;13.5
Beras Kualitas Medium II;01/01/2024;14,2;01/01/2024;14,2;14.2
Beras Kualitas Super I;01/01/2024;15,4;01/01/2024;15,4;15.4
Beras Kualitas Super II;01/01/2024;14,8;01/01/2024;14,8;14.8
Beras Kualitas Bawah II;01/02/2024;14,6;02/01/2024;14,6;14.6
Beras Kualitas Medium I;01/02/2024;14,3;02/01/2024;14,3;14.3
Beras Kualitas Medium II;01/02/2024;15,2;02/01/2024;15,2;15.2
Beras Kualitas Super I;01/02/2024;15,5;02/01/2024;15,5;15.5
Beras Kualitas Super II;01/02/2024;15,8;02/01/2024;15,8;15.8
Beras Kualitas Bawah I;01/02/2024;14,4;02/01/2024;14,4;14.4
Beras;01/02/2024;14,95;02/01/2024;14,95;14.95
Beras Kualitas Super II;01/03/2024;16,4;03/01/2024;16,4;16.4
Beras;01/03/2024;15,85;03/01/2024;15,85;15.85
Beras Kualitas Bawah I;01/03/2024;15,2;03/01/2024;15,2;15.2
Beras Kualitas Bawah II;01/03/2024;15,4;03/01/2024;15,4;15.4
Beras Kualitas Medium I;01/03/2024;15,3;03/01/2024;15,3;15.3
Beras Kualitas Medium II;01/03/2024;16,3;03/01/2024;16,3;16.3
Beras Kualitas Super I;01/03/2024;16,6;03/01/2024;16,6;16.6
Beras;01/04/2024;15,65;04/01/2024;15,65;15.65
Beras Kualitas Bawah I;01/04/2024;14,7;04/01/2024;14,7;14.7
Beras Kualitas Bawah II;01/04/2024;14,9;04/01/2024;14,9;14.9
Beras Kualitas Super II;01/04/2024;16,45;04/01/2024;16,45;16.45
Beras Kualitas Medium II;01/04/2024;16,2;04/01/2024;16,2;16.2
Beras Kualitas Super I;01/04/2024;16,4;04/01/2024;16,4;16.4
Beras Kualitas Medium I;01/04/2024;15,1;04/01/2024;15,1;15.1
Beras Kualitas Super II;01/05/2024;16,35;05/01/2024;16,35;16.35
Beras;01/05/2024;15,25;05/01/2024;15,25;15.25
Beras Kualitas Bawah I;01/05/2024;14,1;05/01/2024;14,1;14.1
Beras Kualitas Bawah II;01/05/2024;14,3;05/01/2024;14,3;14.3
Beras Kualitas Medium I;01/05/2024;14,9;05/01/2024;14,9;14.9
Beras Kualitas Medium II;01/05/2024;15,45;05/01/2024;15,45;15.45
